id,y,campaign,contact_group,contact,month,day,age,job,education,balance,poutcome
247,no,2,Low Contact,unknown,may,5,22,blue-collar,secondary,0,unknown
248,no,1,Low Contact,unknown,may,5,40,management,tertiary,207,unknown
249,no,1,Low Contact,unknown,may,5,39,blue-collar,secondary,483,unknown
250,no,2,Low Contact,unknown,may,5,51,services,secondary,2248,unknown
251,no,1,Low Contact,unknown,may,5,49,admin,secondary,428,unknown
252,no,1,Low Contact,unknown,may,5,53,blue-collar,secondary,0,unknown
253,no,1,Low Contact,unknown,may,5,34,services,secondary,0,unknown
254,no,1,Low Contact,unknown,may,5,33,technician,secondary,140,unknown
255,no,1,Low Contact,unknown,may,5,50,management,tertiary,297,unknown
256,no,1,Low Contact,unknown,may,5,39,blue-collar,primary,279,unknown
257,no,3,High Contact,unknown,may,5,59,entrepreneur,secondary,901,unknown
258,no,2,Low Contact,unknown,may,5,30,technician,secondary,2573,unknown
259,no,1,Low Contact,unknown,may,5,36,services,secondary,143,unknown
260,no,2,Low Contact,unknown,may,5,40,blue-collar,secondary,475,unknown
261,no,2,Low Contact,unknown,may,5,53,blue-collar,secondary,70,unknown
262,no,2,Low Contact,unknown,may,5,34,management,tertiary,318,unknown
263,no,1,Low Contact,unknown,may,5,37,technician,secondary,275,unknown
264,no,3,High Contact,unknown,may,5,42,management,tertiary,742,unknown
265,no,1,Low Contact,unknown,may,5,41,entrepreneur,primary,236,unknown
266,no,2,Low Contact,unknown,may,5,30,student,tertiary,25,unknown
267,no,1,Low Contact,unknown,may,5,37,management,tertiary,600,unknown
268,no,2,Low Contact,unknown,may,5,39,admin,secondary,-349,unknown
269,no,2,Low Contact,unknown,may,5,41,blue-collar,primary,183,unknown
270,no,1,Low Contact,unknown,may,5,40,blue-collar,primary,0,unknown
271,yes,2,Low Contact,unknown,may,5,42,management,tertiary,0,unknown
272,no,1,Low Contact,unknown,may,5,40,blue-collar,primary,0,unknown
273,no,4,High Contact,unknown,may,5,57,technician,secondary,1078,unknown
274,no,3,High Contact,unknown,may,5,56,entrepreneur,secondary,155,unknown
275,no,2,Low Contact,unknown,may,5,37,admin,secondary,190,unknown
276,no,3,High Contact,unknown,may,5,59,retired,secondary,319,unknown
277,no,3,High Contact,unknown,may,5,39,services,secondary,-185,unknown
278,no,2,Low Contact,unknown,may,5,49,services,secondary,47,unknown
279,no,2,Low Contact,unknown,may,5,38,services,secondary,570,unknown
280,no,2,Low Contact,unknown,may,5,36,self-employed,tertiary,19,unknown
281,no,3,High Contact,unknown,may,5,50,blue-collar,primary,61,unknown
282,no,2,Low Contact,unknown,may,5,41,admin,secondary,-62,unknown
283,no,4,High Contact,unknown,may,5,54,technician,tertiary,258,unknown
284,no,2,Low Contact,unknown,may,5,58,blue-collar,primary,76,unknown
285,no,2,Low Contact,unknown,may,5,30,blue-collar,secondary,0,unknown
286,no,2,Low Contact,unknown,may,5,33,admin,secondary,352,unknown
287,no,2,Low Contact,unknown,may,5,47,admin,secondary,368,unknown
288,no,3,High Contact,unknown,may,5,50,technician,tertiary,339,unknown
289,no,2,Low Contact,unknown,may,5,32,blue-collar,secondary,1331,unknown
290,no,2,Low Contact,unknown,may,5,40,self-employed,secondary,672,unknown
291,no,2,Low Contact,unknown,may,5,37,management,tertiary,58,unknown
292,no,2,Low Contact,unknown,may,5,54,technician,unknown,447,unknown
293,no,3,High Contact,unknown,may,5,24,student,secondary,423,unknown
294,no,2,Low Contact,unknown,may,5,54,management,tertiary,0,unknown
295,no,4,High Contact,unknown,may,5,34,technician,secondary,19,unknown
296,no,2,Low Contact,unknown,may,5,56,technician,primary,13,unknown
297,no,2,Low Contact,unknown,may,5,31,blue-collar,secondary,3,unknown
298,no,2,Low Contact,unknown,may,5,24,student,secondary,82,unknown
299,no,3,High Contact,unknown,may,5,42,blue-collar,primary,28,unknown
300,no,2,Low Contact,unknown,may,5,57,technician,secondary,792,unknown
301,no,2,Low Contact,unknown,may,5,42,blue-collar,unknown,408,unknown
302,no,2,Low Contact,unknown,may,5,51,admin,secondary,531,unknown
303,no,2,Low Contact,unknown,may,5,57,retired,secondary,211,unknown
304,no,2,Low Contact,unknown,may,5,36,services,secondary,62,unknown
305,no,2,Low Contact,unknown,may,5,53,services,unknown,257,unknown
306,no,2,Low Contact,unknown,may,5,50,technician,secondary,1234,unknown
307,no,2,Low Contact,unknown,may,5,54,management,tertiary,313,unknown
308,no,3,High Contact,unknown,may,5,55,blue-collar,secondary,89,unknown
309,no,2,Low Contact,unknown,may,5,44,blue-collar,secondary,129,unknown
310,no,2,Low Contact,unknown,may,5,43,management,unknown,0,unknown
311,no,2,Low Contact,unknown,may,5,56,admin,secondary,353,unknown
312,no,2,Low Contact,unknown,may,5,54,technician,unknown,851,unknown
313,no,2,Low Contact,unknown,may,5,55,services,primary,96,unknown
314,no,2,Low Contact,unknown,may,5,37,services,secondary,398,unknown
315,no,2,Low Contact,unknown,may,5,33,admin,tertiary,193,unknown
316,no,2,Low Contact,unknown,may,5,46,admin,secondary,-358,unknown
317,no,2,Low Contact,unknown,may,5,36,blue-collar,secondary,539,unknown
318,no,2,Low Contact,unknown,may,5,51,technician,secondary,0,unknown
319,no,2,Low Contact,unknown,may,5,40,retired,primary,0,unknown
320,no,2,Low Contact,unknown,may,5,42,blue-collar,secondary,490,unknown
321,no,2,Low Contact,unknown,may,5,51,blue-collar,secondary,0,unknown
322,no,2,Low Contact,unknown,may,5,49,blue-collar,unknown,403,unknown
323,no,3,High Contact,unknown,may,5,48,management,secondary,161,unknown
324,no,2,Low Contact,unknown,may,5,32,technician,tertiary,2558,unknown
325,no,2,Low Contact,unknown,may,5,31,admin,secondary,98,unknown
326,no,4,High Contact,unknown,may,5,55,management,tertiary,115,unknown
327,no,3,High Contact,unknown,may,5,40,blue-collar,secondary,436,unknown
328,no,3,High Contact,unknown,may,5,47,technician,tertiary,831,unknown
329,no,3,High Contact,unknown,may,5,57,technician,unknown,206,unknown
330,no,2,Low Contact,unknown,may,5,41,blue-collar,secondary,290,unknown
331,no,3,High Contact,unknown,may,5,48,blue-collar,secondary,1,unknown
332,no,2,Low Contact,unknown,may,5,42,blue-collar,unknown,57,unknown
333,no,2,Low Contact,unknown,may,5,30,blue-collar,secondary,-457,unknown
334,no,5,High Contact,unknown,may,5,58,management,tertiary,1387,unknown
335,no,3,High Contact,unknown,may,5,45,management,tertiary,24598,unknown
336,no,4,High Contact,unknown,may,5,49,blue-collar,secondary,30,unknown
337,no,2,Low Contact,unknown,may,5,42,admin,secondary,1022,unknown
338,no,2,Low Contact,unknown,may,5,53,technician,secondary,56,unknown
339,no,3,High Contact,unknown,may,5,51,admin,secondary,-2,unknown
340,no,2,Low Contact,unknown,may,5,32,services,secondary,121,unknown
341,no,3,High Contact,unknown,may,5,41,blue-collar,secondary,842,unknown
342,no,3,High Contact,unknown,may,5,43,management,secondary,693,unknown
343,no,2,Low Contact,unknown,may,5,40,blue-collar,secondary,-333,unknown
344,no,2,Low Contact,unknown,may,5,50,blue-collar,primary,1533,unknown
345,no,4,High Contact,unknown,may,5,34,management,tertiary,46,unknown
346,no,2,Low Contact,unknown,may,5,53,services,unknown,18,unknown
347,no,4,High Contact,unknown,may,5,45,technician,secondary,44,unknown
348,no,2,Low Contact,unknown,may,5,39,blue-collar,primary,-100,unknown
349,no,4,High Contact,unknown,may,5,44,services,tertiary,510,unknown
350,no,3,High Contact,unknown,may,5,55,management,tertiary,685,unknown
351,no,2,Low Contact,unknown,may,5,46,management,tertiary,187,unknown
352,no,2,Low Contact,unknown,may,5,45,blue-collar,secondary,66,unknown
353,no,3,High Contact,unknown,may,5,34,admin,secondary,560,unknown
354,no,2,Low Contact,unknown,may,5,36,blue-collar,secondary,0,unknown
355,no,3,High Contact,unknown,may,5,59,unknown,unknown,27,unknown
356,no,2,Low Contact,unknown,may,5,31,admin,secondary,12,unknown
357,no,4,High Contact,unknown,may,5,44,blue-collar,secondary,34,unknown
358,no,2,Low Contact,unknown,may,5,33,entrepreneur,tertiary,1068,unknown
359,no,4,High Contact,unknown,may,5,40,blue-collar,secondary,211,unknown
360,no,2,Low Contact,unknown,may,5,46,admin,tertiary,377,unknown
361,no,2,Low Contact,unknown,may,5,48,management,tertiary,263,unknown
362,no,2,Low Contact,unknown,may,6,42,services,secondary,1263,unknown
363,no,3,High Contact,unknown,may,6,27,services,secondary,8,unknown
364,no,2,Low Contact,unknown,may,6,48,admin,secondary,126,unknown
365,no,3,High Contact,unknown,may,6,59,admin,secondary,230,unknown
366,no,1,Low Contact,unknown,may,6,46,technician,tertiary,841,unknown
367,no,1,Low Contact,unknown,may,6,38,admin,secondary,308,unknown
368,no,1,Low Contact,unknown,may,6,43,management,tertiary,1,unknown
369,no,1,Low Contact,unknown,may,6,38,admin,tertiary,86,unknown
370,no,1,Low Contact,unknown,may,6,23,student,secondary,157,unknown
371,no,1,Low Contact,unknown,may,6,34,services,secondary,22,unknown
372,no,1,Low Contact,unknown,may,6,38,admin,secondary,46,unknown
373,no,1,Low Contact,unknown,may,6,37,blue-collar,secondary,1293,unknown
374,no,1,Low Contact,unknown,may,6,25,admin,secondary,122,unknown
375,no,1,Low Contact,unknown,may,6,48,blue-collar,unknown,131,unknown
376,no,1,Low Contact,unknown,may,6,49,blue-collar,secondary,143,unknown
377,no,2,Low Contact,unknown,may,6,38,admin,secondary,393,unknown
378,no,1,Low Contact,unknown,may,6,43,blue-collar,primary,98,unknown
379,no,1,Low Contact,unknown,may,6,33,management,tertiary,0,unknown
380,no,1,Low Contact,unknown,may,6,55,blue-collar,secondary,224,unknown
381,no,1,Low Contact,unknown,may,6,38,blue-collar,secondary,757,unknown
382,no,1,Low Contact,unknown,may,6,49,services,secondary,245,unknown
383,no,3,High Contact,unknown,may,6,40,management,secondary,8486,unknown
384,no,1,Low Contact,unknown,may,6,43,admin,unknown,350,unknown
385,no,1,Low Contact,unknown,may,6,38,blue-collar,secondary,20,unknown
386,no,1,Low Contact,unknown,may,6,58,services,secondary,1667,unknown
387,no,1,Low Contact,unknown,may,6,57,technician,unknown,345,unknown
