id,y,conversion,contact_group,age_group,balance_group,poutcome,job,education,month,balance
245,no,0,High Contact,49-95,High Balance,unknown,management,tertiary,may,3237
246,no,0,Low Contact,40-48,Low Balance,unknown,management,unknown,may,275
247,no,0,Low Contact,18-33,Non-Positive,unknown,blue-collar,secondary,may,0
248,no,0,Low Contact,40-48,Low Balance,unknown,management,tertiary,may,207
249,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,secondary,may,483
250,no,0,Low Contact,49-95,High Balance,unknown,services,secondary,may,2248
251,no,0,Low Contact,49-95,Mid Balance,unknown,admin,secondary,may,428
252,no,0,Low Contact,49-95,Non-Positive,unknown,blue-collar,secondary,may,0
253,no,0,Low Contact,33-39,Non-Positive,unknown,services,secondary,may,0
254,no,0,Low Contact,18-33,Low Balance,unknown,technician,secondary,may,140
255,no,0,Low Contact,49-95,Low Balance,unknown,management,tertiary,may,297
256,no,0,Low Contact,33-39,Low Balance,unknown,blue-collar,primary,may,279
257,no,0,High Contact,49-95,Mid Balance,unknown,entrepreneur,secondary,may,901
258,no,0,Low Contact,18-33,High Balance,unknown,technician,secondary,may,2573
259,no,0,Low Contact,33-39,Low Balance,unknown,services,secondary,may,143
260,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,secondary,may,475
261,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,secondary,may,70
262,no,0,Low Contact,33-39,Low Balance,unknown,management,tertiary,may,318
263,no,0,Low Contact,33-39,Low Balance,unknown,technician,secondary,may,275
264,no,0,High Contact,40-48,Mid Balance,unknown,management,tertiary,may,742
265,no,0,Low Contact,40-48,Low Balance,unknown,entrepreneur,primary,may,236
266,no,0,Low Contact,18-33,Low Balance,unknown,student,tertiary,may,25
267,no,0,Low Contact,33-39,Mid Balance,unknown,management,tertiary,may,600
268,no,0,Low Contact,33-39,Non-Positive,unknown,admin,secondary,may,-349
269,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,primary,may,183
270,no,0,Low Contact,40-48,Non-Positive,unknown,blue-collar,primary,may,0
271,yes,1,Low Contact,40-48,Non-Positive,unknown,management,tertiary,may,0
272,no,0,Low Contact,40-48,Non-Positive,unknown,blue-collar,primary,may,0
273,no,0,High Contact,49-95,Mid Balance,unknown,technician,secondary,may,1078
274,no,0,High Contact,49-95,Low Balance,unknown,entrepreneur,secondary,may,155
275,no,0,Low Contact,33-39,Low Balance,unknown,admin,secondary,may,190
276,no,0,High Contact,49-95,Low Balance,unknown,retired,secondary,may,319
277,no,0,High Contact,33-39,Non-Positive,unknown,services,secondary,may,-185
278,no,0,Low Contact,49-95,Low Balance,unknown,services,secondary,may,47
279,no,0,Low Contact,33-39,Mid Balance,unknown,services,secondary,may,570
280,no,0,Low Contact,33-39,Low Balance,unknown,self-employed,tertiary,may,19
281,no,0,High Contact,49-95,Low Balance,unknown,blue-collar,primary,may,61
282,no,0,Low Contact,40-48,Non-Positive,unknown,admin,secondary,may,-62
283,no,0,High Contact,49-95,Low Balance,unknown,technician,tertiary,may,258
284,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,may,76
285,no,0,Low Contact,18-33,Non-Positive,unknown,blue-collar,secondary,may,0
286,no,0,Low Contact,18-33,Mid Balance,unknown,admin,secondary,may,352
287,no,0,Low Contact,40-48,Mid Balance,unknown,admin,secondary,may,368
288,no,0,High Contact,49-95,Mid Balance,unknown,technician,tertiary,may,339
289,no,0,Low Contact,18-33,High Balance,unknown,blue-collar,secondary,may,1331
290,no,0,Low Contact,40-48,Mid Balance,unknown,self-employed,secondary,may,672
291,no,0,Low Contact,33-39,Low Balance,unknown,management,tertiary,may,58
292,no,0,Low Contact,49-95,Mid Balance,unknown,technician,unknown,may,447
293,no,0,High Contact,18-33,Mid Balance,unknown,student,secondary,may,423
294,no,0,Low Contact,49-95,Non-Positive,unknown,management,tertiary,may,0
295,no,0,High Contact,33-39,Low Balance,unknown,technician,secondary,may,19
296,no,0,Low Contact,49-95,Low Balance,unknown,technician,primary,may,13
297,no,0,Low Contact,18-33,Low Balance,unknown,blue-collar,secondary,may,3
298,no,0,Low Contact,18-33,Low Balance,unknown,student,secondary,may,82
299,no,0,High Contact,40-48,Low Balance,unknown,blue-collar,primary,may,28
300,no,0,Low Contact,49-95,Mid Balance,unknown,technician,secondary,may,792
301,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,unknown,may,408
302,no,0,Low Contact,49-95,Mid Balance,unknown,admin,secondary,may,531
303,no,0,Low Contact,49-95,Low Balance,unknown,retired,secondary,may,211
304,no,0,Low Contact,33-39,Low Balance,unknown,services,secondary,may,62
305,no,0,Low Contact,49-95,Low Balance,unknown,services,unknown,may,257
306,no,0,Low Contact,49-95,Mid Balance,unknown,technician,secondary,may,1234
307,no,0,Low Contact,49-95,Low Balance,unknown,management,tertiary,may,313
308,no,0,High Contact,49-95,Low Balance,unknown,blue-collar,secondary,may,89
309,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,129
310,no,0,Low Contact,40-48,Non-Positive,unknown,management,unknown,may,0
311,no,0,Low Contact,49-95,Mid Balance,unknown,admin,secondary,may,353
312,no,0,Low Contact,49-95,Mid Balance,unknown,technician,unknown,may,851
313,no,0,Low Contact,49-95,Low Balance,unknown,services,primary,may,96
314,no,0,Low Contact,33-39,Mid Balance,unknown,services,secondary,may,398
315,no,0,Low Contact,18-33,Low Balance,unknown,admin,tertiary,may,193
316,no,0,Low Contact,40-48,Non-Positive,unknown,admin,secondary,may,-358
317,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,secondary,may,539
318,no,0,Low Contact,49-95,Non-Positive,unknown,technician,secondary,may,0
319,no,0,Low Contact,40-48,Non-Positive,unknown,retired,primary,may,0
320,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,secondary,may,490
321,no,0,Low Contact,49-95,Non-Positive,unknown,blue-collar,secondary,may,0
322,no,0,Low Contact,49-95,Mid Balance,unknown,blue-collar,unknown,may,403
323,no,0,High Contact,40-48,Low Balance,unknown,management,secondary,may,161
324,no,0,Low Contact,18-33,High Balance,unknown,technician,tertiary,may,2558
325,no,0,Low Contact,18-33,Low Balance,unknown,admin,secondary,may,98
326,no,0,High Contact,49-95,Low Balance,unknown,management,tertiary,may,115
327,no,0,High Contact,40-48,Mid Balance,unknown,blue-collar,secondary,may,436
328,no,0,High Contact,40-48,Mid Balance,unknown,technician,tertiary,may,831
329,no,0,High Contact,49-95,Low Balance,unknown,technician,unknown,may,206
330,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,290
331,no,0,High Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,1
332,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,unknown,may,57
333,no,0,Low Contact,18-33,Non-Positive,unknown,blue-collar,secondary,may,-457
334,no,0,High Contact,49-95,High Balance,unknown,management,tertiary,may,1387
335,no,0,High Contact,40-48,High Balance,unknown,management,tertiary,may,24598
336,no,0,High Contact,49-95,Low Balance,unknown,blue-collar,secondary,may,30
337,no,0,Low Contact,40-48,Mid Balance,unknown,admin,secondary,may,1022
338,no,0,Low Contact,49-95,Low Balance,unknown,technician,secondary,may,56
339,no,0,High Contact,49-95,Non-Positive,unknown,admin,secondary,may,-2
340,no,0,Low Contact,18-33,Low Balance,unknown,services,secondary,may,121
341,no,0,High Contact,40-48,Mid Balance,unknown,blue-collar,secondary,may,842
342,no,0,High Contact,40-48,Mid Balance,unknown,management,secondary,may,693
343,no,0,Low Contact,40-48,Non-Positive,unknown,blue-collar,secondary,may,-333
344,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,primary,may,1533
345,no,0,High Contact,33-39,Low Balance,unknown,management,tertiary,may,46
346,no,0,Low Contact,49-95,Low Balance,unknown,services,unknown,may,18
347,no,0,High Contact,40-48,Low Balance,unknown,technician,secondary,may,44
348,no,0,Low Contact,33-39,Non-Positive,unknown,blue-collar,primary,may,-100
349,no,0,High Contact,40-48,Mid Balance,unknown,services,tertiary,may,510
350,no,0,High Contact,49-95,Mid Balance,unknown,management,tertiary,may,685
351,no,0,Low Contact,40-48,Low Balance,unknown,management,tertiary,may,187
352,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,66
353,no,0,High Contact,33-39,Mid Balance,unknown,admin,secondary,may,560
354,no,0,Low Contact,33-39,Non-Positive,unknown,blue-collar,secondary,may,0
355,no,0,High Contact,49-95,Low Balance,unknown,unknown,unknown,may,27
356,no,0,Low Contact,18-33,Low Balance,unknown,admin,secondary,may,12
357,no,0,High Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,34
358,no,0,Low Contact,18-33,Mid Balance,unknown,entrepreneur,tertiary,may,1068
359,no,0,High Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,211
360,no,0,Low Contact,40-48,Mid Balance,unknown,admin,tertiary,may,377
361,no,0,Low Contact,40-48,Low Balance,unknown,management,tertiary,may,263
362,no,0,Low Contact,40-48,High Balance,unknown,services,secondary,may,1263
363,no,0,High Contact,18-33,Low Balance,unknown,services,secondary,may,8
